,importance
V70,0.11527999
V91,0.09681189
C8,0.06772086
V308,0.03349561
C4,0.026080355
C14,0.02074618
V317,0.020526059
V283,0.016085196
V48,0.014700008
V95,0.014513867
C12,0.014200875
V34,0.013767965
V133,0.012526455
V102,0.012168293
C1,0.011853284
card6,0.011782576
ProductCD,0.010357515
D3,0.009354046
V87,0.008873672
V304,0.0083196545
V45,0.008299599
V296,0.008068673
V294,0.007898329
C10,0.007819122
V312,0.007751325
C13,0.0067518037
D2,0.0062911008
V32,0.0055629998
V315,0.00526724
C2,0.0050431546
V72,0.0048686983
C11,0.0046988344
V128,0.004615102
V298,0.004603871
M4,0.00456254
V49,0.0044906423
V115,0.004234625
C6,0.004206941
V281,0.0041494817
TransactionAmt,0.0040759393
V131,0.00403076
D10,0.0039943685
M6,0.003983247
M2,0.0039789486
card3,0.003916029
V93,0.0039077285
V314,0.0038559767
V286,0.0038292294
C3,0.0037148301
C5,0.0036849119
V307,0.003594076
V67,0.0035784084
D15,0.0035750107
V71,0.003535807
V54,0.0035126486
V92,0.0034743545
V285,0.0034266398
V279,0.003418944
V94,0.0034097445
V130,0.0033767864
V82,0.0033425495
V33,0.0033114457
P_emaildomain,0.0032869808
V76,0.0032779386
C9,0.003173985
M3,0.0031491516
card2,0.0031187292
V53,0.0030912128
V280,0.0030584373
V295,0.0030383707
V50,0.003020876
V12,0.0029587224
V282,0.0029511591
V20,0.0029192346
V62,0.0029109463
card5,0.0029089933
V83,0.0029004877
card1,0.0028886464
D4,0.0028522976
D1,0.0028446945
V99,0.002836139
V86,0.00282322
V96,0.0028070416
V116,0.0028005382
V21,0.0027721277
V310,0.0027382874
V47,0.0027246939
card4,0.0027036052
V35,0.0026983889
V97,0.0026801878
V290,0.0026663076
V13,0.002664805
V125,0.002659584
V320,0.0026462977
V55,0.0026384362
V40,0.0026094175
V60,0.0025873142
V75,0.0025636652
V293,0.002558536
V74,0.0025582113
V301,0.0025500786
V73,0.0025387753
D11,0.0024876753
V29,0.0024706726
V61,0.0024479206
V129,0.002419918
V30,0.002342739
V19,0.002340798
V66,0.002301094
V64,0.0022991581
addr1,0.0022892815
V36,0.0022430657
V136,0.0022231773
V23,0.0022019953
V303,0.002182699
V38,0.0021605203
V105,0.0021539496
V311,0.0021208357
V109,0.0021185412
V313,0.00210395
V5,0.0020721767
V37,0.002071209
V56,0.002053509
V26,0.002040225
V4,0.0020286427
V22,0.0020275144
V124,0.0020042935
V10,0.0019848049
V321,0.0019509401
V59,0.0019277866
V58,0.0018681145
V7,0.0018614617
V291,0.0018419989
V98,0.0018305031
V137,0.0018090723
V25,0.0017872499
V103,0.0017828316
V57,0.0017788389
V289,0.0017734627
V69,0.0017543061
V31,0.0017369195
V46,0.0016984051
V111,0.001671489
V24,0.0016618914
V297,0.0016480901
V108,0.0016392774
V8,0.0016288513
V288,0.0016085922
V316,0.0015716784
V81,0.0015676063
V127,0.0015590355
V299,0.0015573158
V318,0.0015366183
V78,0.0015014532
V2,0.0014841704
V3,0.0014783085
V106,0.0014428736
V319,0.0014334735
addr2,0.0014184709
V287,0.0014018408
V77,0.0014010431
V11,0.0013936481
V126,0.0013760896
V292,0.0013665737
V90,0.0013535079
V43,0.0013452539
V18,0.0013277436
V309,0.0013075318
V51,0.0013035936
V63,0.0013003165
V100,0.0012887698
V118,0.0012830852
V302,0.0012707481
V9,0.0012696044
V52,0.0012599784
V306,0.0012403398
V135,0.0011856082
V300,0.0011666896
V101,0.0011582942
V112,0.0011455428
V6,0.0011264405
C7,0.0010790213
V110,0.001069648
V17,0.0010596368
V79,0.0010406332
V42,0.0010182572
V84,0.0010074084
V132,0.0009868154
V120,0.00097585627
V39,0.0009732974
V44,0.00095516385
V134,0.0008742433
V80,0.0008591401
V114,0.0007335396
V117,0.0007276839
V284,0.00068776496
V85,0.0006350571
V123,0.0005992858
V104,0.0005580605
V16,0.00029583657
V121,0.00029007345
V15,0.0002464929
V88,0.0
M1,0.0
V14,0.0
V113,0.0
V107,0.0
V68,0.0
V305,0.0
V41,0.0
V65,0.0
V119,0.0
V27,0.0
V28,0.0
V122,0.0
V1,0.0
V89,0.0
